lat,lon,point
41.858452,-87.641113,POINT (-87.641113 41.858452)
41.858456,-87.639984,POINT (-87.639984 41.858456)
41.858471,-87.638855,POINT (-87.63885500000001 41.858471)
41.858475,-87.637695,POINT (-87.63769499999999 41.858475)
41.858475,-87.636566,POINT (-87.636566 41.858475)
41.858482,-87.635437,POINT (-87.635437 41.858482)
41.85849,-87.634277,POINT (-87.634277 41.85849)
41.858494,-87.63314799999998,POINT (-87.63314799999998 41.858494)
41.858505,-87.632019,POINT (-87.632019 41.858505)
41.858513,-87.630859,POINT (-87.630859 41.858513)
41.858517,-87.62973000000002,POINT (-87.62973000000002 41.858517)
41.858528,-87.628601,POINT (-87.628601 41.858528)
41.858532,-87.627441,POINT (-87.627441 41.858532)
41.85854000000001,-87.626312,POINT (-87.626312 41.85854000000001)
41.858543,-87.62518299999998,POINT (-87.62518299999998 41.858543)
41.858547,-87.624023,POINT (-87.62402299999999 41.858547)
41.858562,-87.62289399999996,POINT (-87.62289399999997 41.858562)
41.858562,-87.621765,POINT (-87.621765 41.858562)
41.85857,-87.620605,POINT (-87.620605 41.85857)
41.858574,-87.619476,POINT (-87.61947600000001 41.858574)
41.858582,-87.618317,POINT (-87.618317 41.858582)
41.858589,-87.617188,POINT (-87.617188 41.858589)
41.859295,-87.641113,POINT (-87.641113 41.859295)
41.85931,-87.639984,POINT (-87.639984 41.85931)
41.85931400000001,-87.638855,POINT (-87.63885500000001 41.85931400000001)
41.859325,-87.637695,POINT (-87.63769499999999 41.859325)
41.859325,-87.636566,POINT (-87.636566 41.859325)
41.859333,-87.635437,POINT (-87.635437 41.859333)
41.859341,-87.634277,POINT (-87.634277 41.859341)
41.859348,-87.63314799999998,POINT (-87.63314799999998 41.859348)
41.859356,-87.632019,POINT (-87.632019 41.859356)
41.859367,-87.630859,POINT (-87.630859 41.859367)
41.859367,-87.62973000000002,POINT (-87.62973000000002 41.859367)
41.859375,-87.628601,POINT (-87.628601 41.859375)
41.859379,-87.627441,POINT (-87.627441 41.859379)
41.859386,-87.626312,POINT (-87.626312 41.859386)
41.85939000000001,-87.62518299999998,POINT (-87.62518299999998 41.85939000000001)
41.859394,-87.624023,POINT (-87.62402299999999 41.859394)
41.859406,-87.62289399999996,POINT (-87.62289399999997 41.859406)
41.859417,-87.621765,POINT (-87.621765 41.859417)
41.85942100000001,-87.620605,POINT (-87.620605 41.85942100000001)
41.859428,-87.619476,POINT (-87.61947600000001 41.859428)
41.859432,-87.618347,POINT (-87.618347 41.859432)
41.859444,-87.617188,POINT (-87.617188 41.859444)
41.860149,-87.641144,POINT (-87.641144 41.860149)
41.860157,-87.640015,POINT (-87.64001500000001 41.860157)
41.860161,-87.638855,POINT (-87.63885500000001 41.860161)
41.860172,-87.637726,POINT (-87.637726 41.860172)
41.860172,-87.636597,POINT (-87.63659699999999 41.860172)
41.860184,-87.635437,POINT (-87.635437 41.860184)
41.860184,-87.63430799999998,POINT (-87.63430799999998 41.860184)
41.860199,-87.633179,POINT (-87.633179 41.860199)
41.86020300000001,-87.632019,POINT (-87.632019 41.86020300000001)
41.86021,-87.63089000000002,POINT (-87.63089000000002 41.86021)
41.860214,-87.629761,POINT (-87.629761 41.860214)
41.860222,-87.628601,POINT (-87.628601 41.860222)
41.860233,-87.627472,POINT (-87.627472 41.860233)
41.860233,-87.626312,POINT (-87.626312 41.860233)
41.860241,-87.62518299999998,POINT (-87.62518299999998 41.860241)
41.860252,-87.624054,POINT (-87.624054 41.860252)
41.860256,-87.62289399999996,POINT (-87.62289399999997 41.860256)
41.860256,-87.621765,POINT (-87.621765 41.860256)
41.860268,-87.620605,POINT (-87.620605 41.860268)
41.860275,-87.619476,POINT (-87.61947600000001 41.860275)
41.860279,-87.618347,POINT (-87.618347 41.860279)
41.860291,-87.617188,POINT (-87.617188 41.860291)
41.860996,-87.641144,POINT (-87.641144 41.860996)
41.861004,-87.640015,POINT (-87.64001500000001 41.861004)
41.861008,-87.638855,POINT (-87.63885500000001 41.861008)
41.861019,-87.637726,POINT (-87.637726 41.861019)
41.861038,-87.636597,POINT (-87.63659699999999 41.861038)
41.861038,-87.635437,POINT (-87.635437 41.861038)
41.861042,-87.63430799999998,POINT (-87.63430799999998 41.861042)
41.861046,-87.633179,POINT (-87.633179 41.861046)
41.86105300000001,-87.632019,POINT (-87.632019 41.86105300000001)
41.861057,-87.63089000000002,POINT (-87.63089000000002 41.861057)
41.861061,-87.629761,POINT (-87.629761 41.861061)
41.861061,-87.628601,POINT (-87.628601 41.861061)
41.861076,-87.627472,POINT (-87.627472 41.861076)
41.86108400000001,-87.626343,POINT (-87.62634300000001 41.86108400000001)
41.861092,-87.62518299999998,POINT (-87.62518299999998 41.861092)
41.861095,-87.624054,POINT (-87.624054 41.861095)
41.861103,-87.622925,POINT (-87.622925 41.861103)
41.861111,-87.621765,POINT (-87.621765 41.861111)
41.86111500000001,-87.620636,POINT (-87.620636 41.86111500000001)
41.861122,-87.619507,POINT (-87.619507 41.861122)
41.861137,-87.618347,POINT (-87.618347 41.861137)
41.861141,-87.61721800000002,POINT (-87.61721800000002 41.861141)
41.86185800000001,-87.64117399999998,POINT (-87.64117399999998 41.86185800000001)
41.86185800000001,-87.640015,POINT (-87.64001500000001 41.86185800000001)
41.861866,-87.638885,POINT (-87.638885 41.861866)
41.861866,-87.63775600000002,POINT (-87.63775600000002 41.861866)
41.861877,-87.636597,POINT (-87.63659699999999 41.861877)
41.861877,-87.635468,POINT (-87.635468 41.861877)
41.861889,-87.63430799999998,POINT (-87.63430799999998 41.861889)
41.861893,-87.633179,POINT (-87.633179 41.861893)
41.8619,-87.63205,POINT (-87.63205000000001 41.8619)
41.861904,-87.63089000000002,POINT (-87.63089000000002 41.861904)
41.861912,-87.629761,POINT (-87.629761 41.861912)
41.861919,-87.628601,POINT (-87.628601 41.861919)
41.861923,-87.627472,POINT (-87.627472 41.861923)
41.861935,-87.626343,POINT (-87.62634300000001 41.861935)
41.861946,-87.62518299999998,POINT (-87.62518299999998 41.861946)
41.861946,-87.624054,POINT (-87.624054 41.861946)
41.861961,-87.622925,POINT (-87.622925 41.861961)
41.861961,-87.621765,POINT (-87.621765 41.861961)
41.861961,-87.620636,POINT (-87.620636 41.861961)
41.86196500000001,-87.619507,POINT (-87.619507 41.86196500000001)
41.861977,-87.618347,POINT (-87.618347 41.861977)
41.86198,-87.61721800000002,POINT (-87.61721800000002 41.86198)
41.862698,-87.64117399999998,POINT (-87.64117399999998 41.862698)
41.862701,-87.640015,POINT (-87.64001500000001 41.862701)
41.862713,-87.638885,POINT (-87.638885 41.862713)
41.862713,-87.63775600000002,POINT (-87.63775600000002 41.862713)
41.862724,-87.636597,POINT (-87.63659699999999 41.862724)
41.862728,-87.635468,POINT (-87.635468 41.862728)
41.862732,-87.634338,POINT (-87.634338 41.862732)
41.862743,-87.633179,POINT (-87.633179 41.862743)
41.862751,-87.63205,POINT (-87.63205000000001 41.862751)
41.862762,-87.63091999999996,POINT (-87.63091999999997 41.862762)
41.862766,-87.629761,POINT (-87.629761 41.862766)
41.862766,-87.628632,POINT (-87.628632 41.862766)
41.86277000000001,-87.627502,POINT (-87.62750200000001 41.86277000000001)
41.86277800000001,-87.626343,POINT (-87.62634300000001 41.86277800000001)
41.862785,-87.625214,POINT (-87.625214 41.862785)
41.862789,-87.624084,POINT (-87.624084 41.862789)
41.862804,-87.622925,POINT (-87.622925 41.862804)
41.862808,-87.621796,POINT (-87.621796 41.862808)
41.86282,-87.620667,POINT (-87.620667 41.86282)
41.86282,-87.619507,POINT (-87.619507 41.86282)
41.86282,-87.618378,POINT (-87.61837800000001 41.86282)
41.862827,-87.617249,POINT (-87.617249 41.862827)
41.863544,-87.64117399999998,POINT (-87.64117399999998 41.863544)
41.863556,-87.640045,POINT (-87.640045 41.863556)
41.86356,-87.638885,POINT (-87.638885 41.86356)
41.863571,-87.63775600000002,POINT (-87.63775600000002 41.863571)
41.863571,-87.636627,POINT (-87.636627 41.863571)
41.863571,-87.635468,POINT (-87.635468 41.863571)
41.863586,-87.634338,POINT (-87.634338 41.863586)
41.86359,-87.633179,POINT (-87.633179 41.86359)
41.86359,-87.63205,POINT (-87.63205000000001 41.86359)
41.863605,-87.63091999999996,POINT (-87.63091999999997 41.863605)
41.863613,-87.629761,POINT (-87.629761 41.863613)
41.863617,-87.628632,POINT (-87.628632 41.863617)
41.863625,-87.627502,POINT (-87.62750200000001 41.863625)
41.86362800000001,-87.626343,POINT (-87.62634300000001 41.86362800000001)
41.863636,-87.625214,POINT (-87.625214 41.863636)
41.863644,-87.624084,POINT (-87.624084 41.863644)
41.863655,-87.622925,POINT (-87.622925 41.863655)
41.863663,-87.621796,POINT (-87.621796 41.863663)
41.863663,-87.620667,POINT (-87.620667 41.863663)
41.863667,-87.619507,POINT (-87.619507 41.863667)
41.863667,-87.618378,POINT (-87.61837800000001 41.863667)
41.863674,-87.617249,POINT (-87.617249 41.863674)
41.864395,-87.64117399999998,POINT (-87.64117399999998 41.864395)
41.864395,-87.640045,POINT (-87.640045 41.864395)
41.864403,-87.63891600000002,POINT (-87.63891600000002 41.864403)
41.864414,-87.63775600000002,POINT (-87.63775600000002 41.864414)
41.864418,-87.636627,POINT (-87.636627 41.864418)
41.864429,-87.635498,POINT (-87.635498 41.864429)
41.864433,-87.634338,POINT (-87.634338 41.864433)
41.864441,-87.633209,POINT (-87.63320899999999 41.864441)
41.864445,-87.63208,POINT (-87.63208 41.864445)
41.864449,-87.63091999999996,POINT (-87.63091999999997 41.864449)
41.864464,-87.629791,POINT (-87.629791 41.864464)
41.864471,-87.628662,POINT (-87.62866200000001 41.864471)
41.864471,-87.627502,POINT (-87.62750200000001 41.864471)
41.864475,-87.626373,POINT (-87.626373 41.864475)
41.864487,-87.625244,POINT (-87.625244 41.864487)
41.864491,-87.624084,POINT (-87.624084 41.864491)
41.864498,-87.622955,POINT (-87.622955 41.864498)
41.86451,-87.621796,POINT (-87.621796 41.86451)
41.864513,-87.620667,POINT (-87.620667 41.864513)
41.864521,-87.619537,POINT (-87.61953699999999 41.864521)
41.864521,-87.618378,POINT (-87.61837800000001 41.864521)
41.864529,-87.617249,POINT (-87.617249 41.864529)
41.865242,-87.64117399999998,POINT (-87.64117399999998 41.865242)
41.865253,-87.640045,POINT (-87.640045 41.865253)
41.865253,-87.63891600000002,POINT (-87.63891600000002 41.865253)
41.865257,-87.63775600000002,POINT (-87.63775600000002 41.865257)
41.865276,-87.636627,POINT (-87.636627 41.865276)
41.865276,-87.635498,POINT (-87.635498 41.865276)
41.86528,-87.634338,POINT (-87.634338 41.86528)
41.865288,-87.633209,POINT (-87.63320899999999 41.865288)
41.865292,-87.63208,POINT (-87.63208 41.865292)
41.865299,-87.63091999999996,POINT (-87.63091999999997 41.865299)
41.865307,-87.629791,POINT (-87.629791 41.865307)
41.865322,-87.628662,POINT (-87.62866200000001 41.865322)
41.865322,-87.627502,POINT (-87.62750200000001 41.865322)
41.865334,-87.626373,POINT (-87.626373 41.865334)
41.865337,-87.625244,POINT (-87.625244 41.865337)
41.865341,-87.624084,POINT (-87.624084 41.865341)
41.865353000000006,-87.622955,POINT (-87.622955 41.86535300000001)
41.865353000000006,-87.621826,POINT (-87.621826 41.86535300000001)
41.865372,-87.620667,POINT (-87.620667 41.865372)
41.865372,-87.619537,POINT (-87.61953699999999 41.865372)
41.865372,-87.618408,POINT (-87.618408 41.865372)
41.865376,-87.617249,POINT (-87.617249 41.865376)
41.866089,-87.641205,POINT (-87.641205 41.866089)
41.8661,-87.64007600000002,POINT (-87.64007600000002 41.8661)
41.866104,-87.63891600000002,POINT (-87.63891600000002 41.866104)
41.866104,-87.637787,POINT (-87.637787 41.866104)
41.866116,-87.636658,POINT (-87.636658 41.866116)
41.866127,-87.635498,POINT (-87.635498 41.866127)
41.866131,-87.63436899999998,POINT (-87.63436899999998 41.866131)
41.866138,-87.63324,POINT (-87.63324 41.866138)
41.866142,-87.63208,POINT (-87.63208 41.866142)
41.866158,-87.630951,POINT (-87.630951 41.866158)
41.866158,-87.62982199999998,POINT (-87.62982199999998 41.866158)
41.866165,-87.628662,POINT (-87.62866200000001 41.866165)
41.866165,-87.627533,POINT (-87.627533 41.866165)
41.866177,-87.626373,POINT (-87.626373 41.866177)
41.86618,-87.625244,POINT (-87.625244 41.86618)
41.866192,-87.624084,POINT (-87.624084 41.866192)
41.866196,-87.622955,POINT (-87.622955 41.866196)
41.86620300000001,-87.621826,POINT (-87.621826 41.86620300000001)
41.866207,-87.620667,POINT (-87.620667 41.866207)
