BLDGID,MEAN_AVGHT,Lat,Lon,area_total
1,1.74,41.867863,-87.628662,285.41
2,2.17,41.867859,-87.62982199999998,313.14
4,2.97,41.867859,-87.62982199999998,251.16
5,3.03,41.867863,-87.628662,288.21
10,3.73,41.86787,-87.62640400000002,282.49
11,8.94,41.867859,-87.62982199999998,754.84
12,8.66,41.867863,-87.628662,754.84
14,17.77,41.86787,-87.62640400000002,5975.49
15,8.31,41.86787800000001,-87.625244,5323.7
17,9.03,41.867859,-87.62982199999998,754.85
18,8.72,41.867863,-87.628662,754.85
19,12.03,41.867023,-87.62640400000002,7470.48
20,92.27,41.86787800000001,-87.625244,57765.85
21,9.1,41.867859,-87.62982199999998,754.83
22,8.72,41.867863,-87.628662,754.84
23,7.6,41.86787,-87.627533,277.11
24,8.73,41.867859,-87.62982199999998,754.84
25,8.8,41.867863,-87.628662,754.85
29,3.16,41.867859,-87.62982199999998,212.72
30,3.2,41.867863,-87.628662,202.21
31,6.94,41.86787,-87.627533,321.52
32,15.57,41.867863,-87.628662,11525.83
33,3.1,41.86871,-87.62982199999998,287.75
34,2.99,41.86871,-87.628693,287.76
35,9.01,41.86871,-87.62982199999998,777.71
36,8.42,41.86871,-87.628693,777.71
37,22.36,41.86787,-87.62640400000002,12836.72
38,8.9,41.86871,-87.62982199999998,426.33
39,8.79,41.86871,-87.628693,426.34
41,33.28,41.868675,-87.635529,11190.57
45,6.86,41.868717,-87.627563,309.11
46,12.51,41.867851,-87.630951,51734.1
48,7.48,41.868717,-87.627563,269.96
49,15.46,41.86871,-87.628693,11572.7
50,3.68,41.868671,-87.636658,223.63
51,5.42,41.86871,-87.62982199999998,4257.49
52,25.01,41.86787,-87.627533,65038.67
53,5.39,41.86871,-87.62982199999998,4424.07
55,31.43,41.868725,-87.62640400000002,35773.8
56,36.98,41.86787800000001,-87.625244,150984.79
57,4.88,41.869514,-87.636688,164.32
59,3.34,41.86953,-87.63324,261.21
61,11.49,41.868671,-87.636658,3319.28
64,3.66,41.869514,-87.636688,163.43
68,12.7,41.869568,-87.627563,6803.81
70,19.58,41.867798,-87.638947,85153.09
71,23.84,41.869579,-87.625275,10589.69
72,7.37,41.869568,-87.627563,370.72
74,24.99,41.869579,-87.625275,14361.41
75,5.34,41.86956,-87.62982199999998,4766.52
76,5.21,41.86956,-87.62982199999998,4209.18
77,7.44,41.869568,-87.627563,386.18
78,15.6,41.869564,-87.628693,11964.42
79,22.16,41.867832,-87.63324,148735.55
