bldg_id,geometry,centroid,closest
893534,"MULTIPOLYGON (((-87.62547108968964 41.87518788411275, -87.6258116322262 41.87517659159018, -87.62582496878051 41.87559178367344, -87.62548220371293 41.87560138811426, -87.62547108968964 41.87518788411275)))",POINT (-87.62564760063032 41.87538962757276),POINT (-87.625336 41.875526)
362081,"MULTIPOLYGON (((-87.62953834475324 41.87643034149022, -87.62954132391651 41.87649347737428, -87.62959090602766 41.87649240910009, -87.62959229026748 41.87653358125181, -87.62963636495471 41.87653247920869, -87.62964628064481 41.87680010381016, -87.6294130705522 41.87680416306993, -87.62940315583502 41.87653653845595, -87.62942702147102 41.87653668474028, -87.6294239671381 41.87648040900469, -87.62947171342387 41.8764793295294, -87.62947040453787 41.87643129722621, -87.62953834475324 41.87643034149022)))",POINT (-87.62952140516649 41.87664057039269),POINT (-87.629913 41.876343)
366993,"MULTIPOLYGON (((-87.63345259111965 41.87171632219353, -87.63346493638335 41.87209921988948, -87.63309035025168 41.87210654136689, -87.6330780072234 41.87172364364816, -87.63345259111965 41.87171632219353)))",POINT (-87.63327147125236 41.87191143196484),POINT (-87.633301 41.872078)
814852,"MULTIPOLYGON (((-87.63419452512088 41.87657678465494, -87.63382174870719 41.87658411949043, -87.63381620089186 41.87641943100444, -87.63418715548634 41.87641071297173, -87.63419452512088 41.87657678465494)))",POINT (-87.63400517643424 41.87649782174304),POINT (-87.63446 41.87632)
362058,"MULTIPOLYGON (((-87.62857938395148 41.87581661036297, -87.62860345639793 41.87680056979163, -87.62783960222524 41.87680960102762, -87.62781552640665 41.87582701355994, -87.62857938395148 41.87581661036297)))",POINT (-87.62820958093515 41.87631344359227),POINT (-87.628784 41.87635)
353097,"MULTIPOLYGON (((-87.63406315523252 41.88576370938006, -87.63406266149245 41.88580898634216, -87.63398187373573 41.88580849437835, -87.6339823525693 41.88576458944617, -87.63406315523252 41.88576370938006)))",POINT (-87.63402271792482 41.8857864443917),POINT (-87.634552 41.885662)
814435,"MULTIPOLYGON (((-87.62962454994377 41.88480492627909, -87.62962459511256 41.88480081019483, -87.62962378288361 41.88470750103312, -87.62962275986834 41.8846334002637, -87.62963410739954 41.88460328315073, -87.62964527425152 41.88458963037412, -87.62964899151591 41.88458553679105, -87.62966753266504 41.88456918495824, -87.62968040005724 41.8845678916818, -87.62969326744897 41.88456659840392, -87.62970974671909 41.88457081573667, -87.62972986798039 41.88457779962217, -87.62974443593939 41.88458886584146, -87.62987849760395 41.88458694289288, -87.63013741058127 41.88458578436875, -87.63013351280469 41.88460634230729, -87.63019223629883 41.88460944612189, -87.63021059679424 41.88460955854011, -87.63020793334181 41.88468500885466, -87.63020484865469 41.88479887595947, -87.63011482177951 41.88480381318853, -87.62962454994377 41.88480492627909)))",POINT (-87.62991074021079 41.88469555463855),POINT (-87.63000500000003 41.88483)
814346,"MULTIPOLYGON (((-87.62870269330695 41.88514779212097, -87.62917283128101 41.8851410710345, -87.62919114672749 41.88514529970048, -87.62932520956335 41.88514337740704, -87.62933801209211 41.88564976824537, -87.62923884876341 41.88565053241435, -87.62923902954286 41.8856340680811, -87.62872664307551 41.88564190233641, -87.62870269330695 41.88514779212097)))",POINT (-87.62902387312904 41.88539141737225),POINT (-87.628845 41.885689)
814357,"MULTIPOLYGON (((-87.63443012110709 41.88562049858087, -87.6343309578245 41.8856212671479, -87.63432361350398 41.88562122244358, -87.63431776834405 41.8853152040276, -87.63431612670266 41.88529735646996, -87.63431389035374 41.8851656192989, -87.63442774146843 41.88516494013714, -87.63443012110709 41.88562049858087)))",POINT (-87.63437387567578 41.88539040491683),POINT (-87.634552 41.885662)
353106,"MULTIPOLYGON (((-87.63435695861394 41.885762753799, -87.6343565548146 41.88579979858851, -87.63423353710486 41.88579904975414, -87.63423392601709 41.8857633769948, -87.63435695861394 41.885762753799)))",POINT (-87.63429563100941 41.88578124498337),POINT (-87.634552 41.885662)
814262,"MULTIPOLYGON (((-87.62568742067278 41.88633534461295, -87.62585450551973 41.88633637409873, -87.62586694326438 41.8867069230751, -87.62569618523592 41.88670587097149, -87.62568742067278 41.88633534461295)))",POINT (-87.62577628288277 41.88652179963201),POINT (-87.62545799999999 41.886547)
814557,"MULTIPOLYGON (((-87.62981106384318 41.88253246518733, -87.62952832140684 41.88253073270698, -87.62952751027622 41.8822700247624, -87.62980474361576 41.8822717234932, -87.62981392352808 41.88227177973112, -87.62981106384318 41.88253246518733)))",POINT (-87.629670205864 41.882400970369),POINT (-87.629974 41.88229000000001)
814302,"MULTIPOLYGON (((-87.62862272665252 41.88624225327015, -87.62843728099544 41.88624111511138, -87.62842293203163 41.88587604310976, -87.62877735677593 41.88587272966527, -87.62877907226175 41.88588371715075, -87.62916103832788 41.88588057149153, -87.62915947344433 41.8858558637343, -87.62935412856598 41.8858543129415, -87.62935835495692 41.88613836770223, -87.62872843943988 41.88614685354106, -87.62872738410729 41.8862428954652, -87.62862272665252 41.88624225327015)))",POINT (-87.62886328140495 41.88602697145112),POINT (-87.628845 41.885689)
368617,"MULTIPOLYGON (((-87.63743320844125 41.87047678593324, -87.63745200172235 41.8706058794635, -87.63727194413245 41.87061988164956, -87.63725315121033 41.87049078809287, -87.63743320844125 41.87047678593324)))",POINT (-87.63735257637988 41.87054833380621),POINT (-87.637817 41.870365)
