id,geometry,centroid,closest
5155,"POLYGON ((-87.639359 41.880865, -87.638864 41.880869, -87.63887699999999 41.881616, -87.639025 41.881615, -87.639027 41.881769, -87.63942 41.881765, -87.639415 41.881479, -87.63937 41.88148, -87.639359 41.880865))",POINT (-87.63913625044877 41.88130694983439),POINT (-87.63906899999998 41.881386)
2334,"POLYGON ((-87.632639 41.884587, -87.63264700000001 41.885047, -87.633178 41.885042, -87.63317000000001 41.884582, -87.632639 41.884587))",POINT (-87.6329085 41.88481449999999),POINT (-87.63342299999999 41.884811)
5555,"POLYGON ((-87.627734 41.868966, -87.627672 41.868966, -87.627672 41.869099, -87.627734 41.869099, -87.627734 41.868966))",POINT (-87.627703 41.8690325),POINT (-87.62756299999999 41.868717)
8803,"POLYGON ((-87.638811 41.882288, -87.638701 41.882289, -87.638706 41.882813, -87.638848 41.882812, -87.63884400000001 41.882369, -87.638811 41.882369, -87.638811 41.882288))",POINT (-87.63877262813126 41.88255851678357),POINT (-87.639099 41.882236)
4788,"POLYGON ((-87.625265 41.882209, -87.624651 41.882216, -87.624656 41.882467, -87.624932 41.882464, -87.624934 41.882525, -87.625007 41.882525, -87.62500900000001 41.882616, -87.625057 41.882616, -87.625061 41.882772, -87.62484499999999 41.882774, -87.624844 41.882732, -87.624763 41.882733, -87.624759 41.882513, -87.62466999999999 41.882513, -87.62467700000001 41.882856, -87.624675 41.882856, -87.62468 41.883126, -87.625277 41.88312, -87.625271 41.882855, -87.62527799999999 41.882855, -87.625265 41.882209))",POINT (-87.62498458364195 41.882672649396),POINT (-87.62539699999998 41.882305)
5821,"POLYGON ((-87.624954 41.86762, -87.62432699999999 41.867623, -87.62433 41.868029, -87.624402 41.868046, -87.624405 41.868397, -87.624499 41.868419, -87.624499 41.86847, -87.624476 41.868476, -87.62434500000001 41.868477, -87.624346 41.868644, -87.62438299999999 41.868653, -87.624613 41.868652, -87.624636 41.868658, -87.624711 41.868827, -87.624819 41.868826, -87.624937 41.868797, -87.624838 41.868576, -87.624838 41.868533, -87.62493499999999 41.868307, -87.62493499999999 41.868299, -87.624889 41.868289, -87.624921 41.868215, -87.62492 41.868144, -87.624959 41.868134, -87.624954 41.86762))",POINT (-87.6246546157119 41.86814545600824),POINT (-87.624115 41.867886)
9163,"POLYGON ((-87.63123299999999 41.887148, -87.63135800000001 41.887149, -87.63135699999999 41.887213, -87.63149900000001 41.887215, -87.6315 41.887153, -87.63153200000001 41.887153, -87.631534 41.887089, -87.63146500000001 41.887089, -87.631466 41.887047, -87.631356 41.887045, -87.631355 41.887087, -87.63123400000001 41.887086, -87.63123299999999 41.887148))",POINT (-87.63140009325573 41.88712908629689),POINT (-87.631165 41.887379)
5301,"POLYGON ((-87.63227500000001 41.872763, -87.632329 41.875188, -87.632431 41.875186, -87.63237700000001 41.872761, -87.63227500000001 41.872763))",POINT (-87.63235300000001 41.8739745),POINT (-87.632172 41.873775)
9340,"POLYGON ((-87.626955 41.86894, -87.626778 41.868939, -87.626777 41.869157, -87.62727099999999 41.869158, -87.627273 41.868417, -87.626955 41.868416, -87.626955 41.86845, -87.626763 41.86845, -87.626763 41.868664, -87.62695600000001 41.868664, -87.626955 41.86894))",POINT (-87.62704993803082 41.86878886097683),POINT (-87.62756299999999 41.868717)
4148,"POLYGON ((-87.639346 41.887165, -87.639348 41.887197, -87.63932800000001 41.887203, -87.639331 41.887245, -87.639391 41.88734, -87.639414 41.887752, -87.63946900000001 41.88775, -87.63949 41.887783, -87.639533 41.887782, -87.63953600000001 41.887824, -87.639742 41.887817, -87.639719 41.887414, -87.639557 41.887158, -87.639346 41.887165))",POINT (-87.63954869836749 41.88749580329355),POINT (-87.63913000000002 41.887325)
