id,MEAN_AVGHT,Lat,Lon,Electricity [GJ],Natural Gas [GJ],area_total,elec_per_area_total,elec_total,run,energy,gas,energy_total
1,1.74,41.867863,-87.628662,259.35,45.13,285.41,908.69,259.35,,,,
2,2.17,41.867859,-87.62982199999998,295.28,43.49,313.14,942.95,295.28,,,,
4,2.97,41.867859,-87.62982199999998,303.2,41.07,251.16,1207.21,303.2,,,,
5,3.03,41.867863,-87.628662,330.35,41.22,288.21,1146.2,330.35,,,,
10,3.73,41.86787,-87.62640400000002,354.79,40.52,282.49,1255.94,354.79,,,,
11,8.94,41.867859,-87.62982199999998,597.03,45.99,754.84,790.93,597.03,,,,
12,8.66,41.867863,-87.628662,585.84,46.6,754.84,776.11,585.84,,,,
14,17.77,41.86787,-87.62640400000002,2527.46,294.05,5975.49,422.97,2527.46,,,,
15,8.31,41.86787800000001,-87.625244,1996.38,323.27,5323.7,375.0,1996.38,,,,
17,9.03,41.867859,-87.62982199999998,600.73,45.81,754.85,795.83,600.73,,,,
18,8.72,41.867863,-87.628662,588.2,46.46,754.85,779.23,588.2,,,,
19,12.03,41.867022999999996,-87.62640400000002,3634.73,246.43,7470.48,486.55,3634.73,,,,
20,92.27,41.86787800000001,-87.625244,17173.97,15007.93,57765.85,297.3,17173.97,,,,
21,9.1,41.867859,-87.62982199999998,603.45,45.66,754.83,799.45,603.45,,,,
22,8.72,41.867863,-87.628662,588.2,46.46,754.84,779.24,588.2,,,,
23,7.6,41.86787,-87.627533,402.4,40.41,277.11,1452.1,402.4,,,,
24,8.73,41.867859,-87.62982199999998,588.58,46.45,754.84,779.74,588.58,,,,
25,8.8,41.867863,-87.628662,591.25,46.29,754.85,783.27,591.25,,,,
29,3.16,41.867859,-87.62982199999998,302.91,40.6,212.72,1423.93,302.91,,,,
30,3.2,41.867863,-87.628662,312.35,40.47,202.21,1544.72,312.35,,,,
31,6.94,41.86787,-87.627533,397.96,40.65,321.52,1237.77,397.96,,,,
32,15.57,41.867863,-87.628662,4641.05,582.74,11525.83,402.66,4641.05,,,,
33,3.1,41.86871,-87.62982199999998,340.73,41.05,287.75,1184.11,340.73,,,,
34,2.99,41.86871,-87.628693,334.14,41.15,287.76,1161.2,334.14,,,,
35,9.01,41.86871,-87.62982199999998,612.19,46.2,777.71,787.17,612.19,,,,
36,8.42,41.86871,-87.628693,588.23,47.67,777.71,756.36,588.23,,,,
37,22.36,41.86787,-87.62640400000002,4826.63,734.65,12836.72,376.0,4826.63,,,,
38,8.9,41.86871,-87.62982199999998,485.86,41.07,426.33,1139.62,485.86,,,,
39,8.79,41.86871,-87.628693,481.88,41.1,426.34,1130.27,481.88,,,,
41,33.28,41.868675,-87.635529,5505.99,2955.24,11190.57,492.02,5505.99,,,,
45,6.86,41.868717,-87.627563,385.88,40.64,309.11,1248.34,385.88,991.0,24.0,24.0,48.0
46,12.51,41.867851,-87.630951,15516.08,3702.54,51734.1,299.92,15516.08,,,,
48,7.48,41.868717,-87.627563,394.47,40.41,269.96,1461.2,394.47,991.0,24.0,24.0,48.0
49,15.46,41.86871,-87.628693,4633.73,592.42,11572.7,400.4,4633.73,991.0,1225459.0,166089.0,1391548.0
50,3.68,41.868671,-87.636658,326.01,40.44,223.63,1457.8,326.01,,,,
51,5.42,41.86871,-87.62982199999998,2088.66,166.36,4257.49,490.58,2088.66,991.0,24.0,24.0,48.0
52,25.01,41.86787,-87.627533,18783.02,11597.79,65038.67,288.8,18783.02,,,,
53,5.39,41.86871,-87.62982199999998,2139.19,177.56,4424.07,483.53,2139.19,991.0,24.0,24.0,48.0
55,31.43,41.868725,-87.62640400000002,11515.77,6896.51,35773.8,321.91,11515.77,,,,
56,36.98,41.86787800000001,-87.625244,39872.46,27661.33,150984.79,264.08,39872.46,,,,
57,4.88,41.869514,-87.636688,245.9,40.57,164.32,1496.5,245.9,,,,
59,3.34,41.86953,-87.63324,303.33,41.15,261.21,1161.21,303.33,991.0,48724.0,1597.0,50321.0
61,11.49,41.868671,-87.636658,1524.64,156.9,3319.28,459.33,1524.64,,,,
64,3.66,41.869514,-87.636688,265.75,40.45,163.43,1626.13,265.75,,,,
68,12.7,41.869568,-87.627563,2715.94,369.34,6803.81,399.18,2715.94,,,,
70,19.58,41.867798,-87.638947,25945.07,5952.32,85153.09,304.69,25945.07,,,,
71,23.84,41.869578999999995,-87.625275,5333.73,2621.66,10589.69,503.67,5333.73,,,,
72,7.37,41.869568,-87.627563,433.96,40.8,370.72,1170.59,433.96,991.0,24.0,24.0,48.0
74,24.99,41.869578999999995,-87.625275,6272.16,3262.64,14361.41,436.74,6272.16,,,,
75,5.34,41.86956,-87.62982199999998,2283.74,192.69,4766.52,479.12,2283.74,991.0,24.0,24.0,48.0
76,5.21,41.86956,-87.62982199999998,2015.99,171.83,4209.18,478.95,2015.99,991.0,24.0,24.0,48.0
77,7.44,41.869568,-87.627563,442.89,40.86,386.18,1146.86,442.89,991.0,24.0,24.0,48.0
78,15.6,41.869564000000004,-87.628693,4764.53,618.85,11964.42,398.23,4764.53,991.0,1261314.0,172067.0,1433381.0
79,22.16,41.867832,-87.63324,47843.54,8988.19,148735.55,321.67,47843.54,991.0,23.0,23.0,46.0
82,52.07,41.870407,-87.628723,6025.74,3918.06,13307.54,452.81,6025.74,991.0,23.0,23.0,46.0
84,5.08,41.869568,-87.627563,1406.28,212.1,3563.75,394.61,1406.28,991.0,24.0,24.0,48.0
85,5.7,41.86956,-87.62982199999998,,,,,,991.0,24.0,24.0,48.0
86,3.28,41.870365,-87.637817,287.58,41.08,235.84,1219.39,287.58,,,,
87,5.49,41.86956,-87.62982199999998,2107.26,136.24,4034.71,522.28,2107.26,991.0,24.0,24.0,48.0
88,16.52,41.869568,-87.62640400000002,11722.9,2380.42,35991.79,325.71,11722.9,,,,
91,75.18,41.870434,-87.625275,21011.44,14883.4,74022.45,283.85,21011.44,,,,
92,10.73,41.869549,-87.630981,3599.45,671.18,10402.42,346.02,3599.45,,,,
98,3.91,41.870365,-87.637817,,,,,,,,,
99,3.66,41.870373,-87.636688,461.54,46.81,605.45,762.32,461.54,,,,
100,63.84,41.870391999999995,-87.630981,13343.06,10366.43,42305.17,315.4,13343.06,,,,
101,46.53,41.870434,-87.625275,5183.45,3666.26,9876.54,524.82,5183.45,,,,
103,7.11,41.870365,-87.637817,1459.2,51.0,2087.29,699.09,1459.2,,,,
104,41.21,41.870407,-87.628723,7808.67,5191.21,20472.32,381.43,7808.67,991.0,23.0,23.0,46.0
105,44.19,41.870422,-87.626434,15054.6,9915.52,49959.61,301.34,15054.6,,,,
109,10.94,41.87122,-87.635559,1533.03,92.88,2827.05,542.27,1533.03,,,,
110,5.42,41.870399,-87.629852,2732.18,220.54,5710.31,478.46,2732.18,991.0,24.0,24.0,48.0
113,45.35,41.870419,-87.627563,22567.03,14828.48,80254.33,281.19,22567.03,,,,
114,52.12,41.871277,-87.626434,13354.23,8848.87,43059.35,310.14,13354.23,,,,
115,14.39,41.871277,-87.62530500000004,6150.44,1230.96,18515.21,332.18,6150.44,,,,
116,27.04,41.871277,-87.62530500000004,13714.28,2833.94,42354.27,323.8,13714.28,,,,
121,21.44,41.871254,-87.629852,6028.53,637.05,14006.31,430.42,6028.53,991.0,23.0,23.0,46.0
121,21.44,41.871254,-87.629852,6028.53,637.05,14006.31,430.42,6028.53,993.0,23.0,23.0,46.0
122,26.98,41.87037700000001,-87.634399,32335.11,7437.76,107087.96,301.95,32335.11,,,,
123,39.19,41.872078,-87.633301,7220.81,4318.67,17997.97,401.2,7220.81,,,,
124,21.03,41.87125800000001,-87.628723,12354.81,1335.46,29402.38,420.2,12354.81,991.0,23.0,23.0,46.0
124,21.03,41.87125800000001,-87.628723,12354.81,1335.46,29402.38,420.2,12354.81,993.0,23.0,23.0,46.0
125,10.49,41.871254,-87.629852,5607.07,943.21,15654.25,358.18,5607.07,991.0,1479455.0,238061.0,1717516.0
125,10.49,41.871254,-87.629852,5607.07,943.21,15654.25,358.18,5607.07,993.0,1521571.0,240112.0,1761683.0
125,10.49,41.871254,-87.629852,5607.07,943.21,15654.25,358.18,5607.07,994.0,75397.0,11208.0,86605.0
125,10.49,41.871254,-87.629852,5607.07,943.21,15654.25,358.18,5607.07,995.0,91037.0,11418.0,102455.0
126,11.66,41.872063,-87.636719,563.02,42.51,615.25,915.1,563.02,,,,
