"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-01","6.5",",,W",,,"0.0",",,W,2400","0.0",",,W","0.0",",,W,2400","-6.7","H,,S","0.0",",,W","-9.9",",,W","  240",",,W","  250",",,W","10.7",",,W","13.4",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-02","2.1",",,W",,,"0.0",",,W,2400","0.0",",,W","0.0",",,W,2400","-3.5","H,,S","1.1",",,W","-9.3",",,W","  150",",,W","  150",",,W","5.4",",,W","5.8",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-03","2.5",",,W",,,"14.5",",,W,2400","10.0",",,W","0.0",",,W,2400","-0.3","H,,S","1.1",",,W","-1.6",",,W","  140",",,W","  140",",,W","5.8",",,W","6.3",",,W","    1",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-04","7.1",",,W",,,"3.3",",,W,2400","56.0",",,W","30.0",",,W,2400","-1.7","H,,S","0.6",",,W","-16.6",",,W","  320",",,W","  320",",,W","11.6",",,W","13.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-05","4.6",",,W",,,"3.8",",,W,2400","46.0",",,W","50.0",",,W,2400","-16.6","H,,S","-14.3",",,W","-19.3",",,W","  310",",,W","  310",",,W","9.8",",,W","11.6",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-06","6.2",",,W",,,"0.3",",,W,2400","5.0",",,W","100.0",",,W,2400","-14.8","H,,S","-12.1",",,W","-20.5",",,W","  270",",,W","  280",",,W","10.7",",,W","13.4",",,W","    1",",,W",,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-07","7.8",",,W",,,"0.0",",,W,2400","0.0",",,W","80.0",",,W,2400","-16.1","H,,S","-14.3",",,W","-21.0",",,W","  330",",,W","  320",",,W","12.5",",,W","14.8",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-08","7.9",",,W",,,"1.5",",,W,2400","76.0",",,W","80.0",",,W,2400","-18.9","H,,S","-7.7",",,W","-22.1",",,W","  300",",,W","  300",",,W","12.5",",,W","17.4",",,W",,,,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-09","7.4",",,W",,,"0.0","T,,W,2400","0.0","T,,W","130.0",",,W,2400","-13.3","H,,S","-11.6",",,W","-17.7",",,W","  330",",,W","  330",",,W","13.4",",,W","17.0",",,W",,,,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-10","5.2",",,W",,,"0.0",",,W,2400","0.0",",,W","100.0",",,W,2400","-15.1","H,,S","-4.3",",,W","-18.8",",,W","  180",",,W","  190",",,W","9.8",",,W","12.1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-11","3.7",",,W",,,"4.8",",,W,2400","66.0",",,W","100.0",",,W,2400","-3.4","H,,S","0.0",",,W","-5.5",",,W","  180",",,W","  180",",,W","8.1",",,W","9.4",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-12","5.7",",,W",,,"0.0","T,,W,2400","10.0",",,W","150.0",",,W,2400","-4.9","H,,S","-2.1",",,W","-9.3",",,W","   10",",,W","   10",",,W","9.4",",,W","11.2",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-13","3.4",",,W",,,"0.0","T,,W,2400","5.0",",,W","150.0",",,W,2400","-8.4","H,,S","-7.1",",,W","-16.0",",,W","   50",",,W","   50",",,W","8.9",",,W","10.3",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-14","2.9",",,W",,,"0.0","T,,W,2400","0.0","T,,W","150.0",",,W,2400","-11.9","H,,S","-7.1",",,W","-17.1",",,W","  220",",,W","  220",",,W","6.3",",,W","8.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-15","4.5",",,W",,,"0.0",",,W,2400","0.0",",,W","130.0",",,W,2400","-5.6","H,,S","1.1",",,W","-8.2",",,W","  240",",,W","  230",",,W","9.4",",,W","12.1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-16","3.7",",,W",,,"0.0",",,W,2400","0.0",",,W","100.0",",,W,2400","-2.1","H,,S","1.1",",,W","-4.9",",,W","  140",",,W","  140",",,W","6.7",",,W","8.1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-17","6.9",",,W",,,"0.0",",,W,2400","0.0",",,W","100.0",",,W,2400","1.2","H,,S","5.6",",,W","-3.2",",,W","  210",",,W","  220",",,W","12.5",",,W","16.5",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-18","4.7",",,W",,,"0.0","T,,W,2400","0.0","T,,W","0.0",",,W,2400","2.7","H,,S","4.4",",,W","-2.7",",,W","  300",",,W","  240",",,W","8.9",",,W","10.7",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-19","2.4",",,W",,,"0.0","T,,W,2400","0.0","T,,W","0.0",",,W,2400","-0.1","H,,S","5.0",",,W","-3.8",",,W","  100",",,W","  100",",,W","5.4",",,W","5.8",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-20","3.3",",,W",,,"0.0","T,,W,2400","0.0",",,W","0.0",",,W,2400","0.9","H,,S","2.2",",,W","-1.6",",,W","   40",",,W","   50",",,W","7.6",",,W","10.3",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-21","3.4",",,W",,,"0.3",",,W,2400","3.0",",,W","0.0",",,W,2400","-0.6","H,,S","0.6",",,W","-1.6",",,W","   20",",,W","   40",",,W","6.3",",,W","7.6",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-22","3.1",",,W",,,"0.0",",,W,2400","0.0",",,W","0.0",",,W,2400","-1.2","H,,S","-0.5",",,W","-2.1",",,W","  260",",,W","  230",",,W","6.7",",,W","8.5",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-23","5.1",",,W",,,"0.0",",,W,2400","0.0",",,W","0.0",",,W,2400","-1.3","H,,S","-0.5",",,W","-1.6",",,W","  220",",,W","  260",",,W","7.6",",,W","10.7",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-24","3.6",",,W",,,"0.0",",,W,2400","0.0",",,W","0.0",",,W,2400","0.4","H,,S","6.1",",,W","-1.6",",,W","  260",",,W","  260",",,W","8.1",",,W","10.7",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-25","6.5",",,W",,,"2.0",",,W,2400","15.0",",,W","0.0",",,W,2400","-0.5","H,,S","1.1",",,W","-4.3",",,W","   40",",,W","   50",",,W","11.6",",,W","15.7",",,W","    1",",,W",,,,,"    1",",,W",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-26","2.5",",,W",,,"1.8",",,W,2400","25.0",",,W","0.0",",,W,2400","-4.9","H,,S","-3.2",",,W","-9.3",",,W","   60",",,W","   60",",,W","5.8",",,W","7.2",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-27","2.7",",,W",,,"0.0","T,,W,2400","0.0","T,,W","30.0",",,W,2400","-2.6","H,,S","0.0",",,W","-6.6",",,W","   40",",,W","   40",",,W","5.8",",,W","6.7",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-28","4.9",",,W",,,"0.3",",,W,2400","0.0",",,W","30.0",",,W,2400","-3.4","H,,S","1.1",",,W","-7.1",",,W","  170",",,W","  160",",,W","8.9",",,W","11.2",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-29","6.2",",,W",,,"0.3",",,W,2400","3.0",",,W","30.0",",,W,2400","0.7","H,,S","1.7",",,W","-2.1",",,W","  320",",,W","  330",",,W","11.6",",,W","15.7",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-30","3.3",",,W",,,"0.0","T,,W,2400","0.0","T,,W","30.0",",,W,2400","-2.8","H,,S","-1.0",",,W","-7.7",",,W","  350",",,W","   10",",,W","8.9",",,W","12.1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-01-31","3.1",",,W",,,"3.0",",,W,2400","33.0",",,W","0.0",",,W,2400","-2.8","H,,S","2.2",",,W","-7.1",",,W","  250",",,W","  250",",,W","7.2",",,W","8.5",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2015-02-01","8.2",",,W",,,"22.1",",,W,2400","411.0",",,W","100.0",",,W,2400","-1.6","H,,S","-0.5",",,W","-7.1",",,W","   40",",,W","   40",",,W","13.4",",,W","17.4",",,W","    1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
